travelCode,userCode,name,place,days,price,total,date,userCompany,user,userGender,userAge,cantReservacion
135,2,Hotel CB,Rio de Janeiro (RJ),1,165.99,165.99,07/02/2020,4You,Wilma Mcinnis,female,48,1
137,2,Hotel A,Florianopolis (SC),3,313.02,939.06,07/16/2020,4You,Wilma Mcinnis,female,48,1
150,2,Hotel Z,Aracaju (SE),2,208.04,416.08,10/15/2020,4You,Wilma Mcinnis,female,48,1
153,2,Hotel BW,Campo Grande (MS),4,60.39,241.56,11/05/2020,4You,Wilma Mcinnis,female,48,1
156,2,Hotel BP,Brasilia (DF),2,247.62,495.24,11/26/2020,4You,Wilma Mcinnis,female,48,1
160,2,Hotel BW,Campo Grande (MS),2,60.39,120.78,12/24/2020,4You,Wilma Mcinnis,female,48,1
165,2,Hotel BD,Natal (RN),3,242.88,728.64,01/28/2021,4You,Wilma Mcinnis,female,48,1
177,2,Hotel Z,Aracaju (SE),2,208.04,416.08,04/22/2021,4You,Wilma Mcinnis,female,48,1
180,2,Hotel BW,Campo Grande (MS),3,60.39,181.17,05/13/2021,4You,Wilma Mcinnis,female,48,1
187,2,Hotel Z,Aracaju (SE),3,208.04,624.12,07/01/2021,4You,Wilma Mcinnis,female,48,1
188,2,Hotel AF,Sao Paulo (SP),2,139.1,278.2,07/08/2021,4You,Wilma Mcinnis,female,48,1
189,2,Hotel K,Salvador (BH),4,263.41,1053.64,07/15/2021,4You,Wilma Mcinnis,female,48,1
192,2,Hotel A,Florianopolis (SC),4,313.02,1252.08,08/05/2021,4You,Wilma Mcinnis,female,48,1
197,2,Hotel A,Florianopolis (SC),3,313.02,939.06,09/09/2021,4You,Wilma Mcinnis,female,48,1
201,2,Hotel A,Florianopolis (SC),2,313.02,626.04,10/07/2021,4You,Wilma Mcinnis,female,48,1
205,2,Hotel CB,Rio de Janeiro (RJ),2,165.99,331.98,11/04/2021,4You,Wilma Mcinnis,female,48,1
211,2,Hotel Z,Aracaju (SE),3,208.04,624.12,12/16/2021,4You,Wilma Mcinnis,female,48,1
213,2,Hotel K,Salvador (BH),3,263.41,790.23,12/30/2021,4You,Wilma Mcinnis,female,48,1
214,2,Hotel AU,Recife (PE),1,312.83,312.83,01/06/2022,4You,Wilma Mcinnis,female,48,1
219,2,Hotel A,Florianopolis (SC),2,313.02,626.04,02/10/2022,4You,Wilma Mcinnis,female,48,1
221,2,Hotel K,Salvador (BH),1,263.41,263.41,02/24/2022,4You,Wilma Mcinnis,female,48,1
224,2,Hotel BP,Brasilia (DF),3,247.62,742.86,03/17/2022,4You,Wilma Mcinnis,female,48,1
225,2,Hotel BD,Natal (RN),4,242.88,971.52,03/24/2022,4You,Wilma Mcinnis,female,48,1
233,3,Hotel A,Florianopolis (SC),2,313.02,626.04,11/14/2019,4You,Paula Daniel,female,23,1
235,3,Hotel A,Florianopolis (SC),3,313.02,939.06,11/28/2019,4You,Paula Daniel,female,23,1
238,3,Hotel A,Florianopolis (SC),2,313.02,626.04,12/19/2019,4You,Paula Daniel,female,23,1
239,3,Hotel A,Florianopolis (SC),2,313.02,626.04,12/26/2019,4You,Paula Daniel,female,23,1
240,3,Hotel BP,Brasilia (DF),4,247.62,990.48,01/02/2020,4You,Paula Daniel,female,23,1
241,3,Hotel A,Florianopolis (SC),1,313.02,313.02,01/09/2020,4You,Paula Daniel,female,23,1
243,3,Hotel CB,Rio de Janeiro (RJ),1,165.99,165.99,01/23/2020,4You,Paula Daniel,female,23,1
244,3,Hotel AU,Recife (PE),4,312.83,1251.32,01/30/2020,4You,Paula Daniel,female,23,1
246,3,Hotel AU,Recife (PE),2,312.83,625.66,02/13/2020,4You,Paula Daniel,female,23,1
248,3,Hotel BW,Campo Grande (MS),2,60.39,120.78,02/27/2020,4You,Paula Daniel,female,23,1
255,3,Hotel A,Florianopolis (SC),1,313.02,313.02,04/16/2020,4You,Paula Daniel,female,23,1
259,3,Hotel BD,Natal (RN),2,242.88,485.76,05/14/2020,4You,Paula Daniel,female,23,1
263,3,Hotel BW,Campo Grande (MS),3,60.39,181.17,06/11/2020,4You,Paula Daniel,female,23,1
269,3,Hotel CB,Rio de Janeiro (RJ),2,165.99,331.98,07/23/2020,4You,Paula Daniel,female,23,1
275,3,Hotel BD,Natal (RN),2,242.88,485.76,09/03/2020,4You,Paula Daniel,female,23,1
279,3,Hotel BD,Natal (RN),1,242.88,242.88,10/01/2020,4You,Paula Daniel,female,23,1
283,3,Hotel AF,Sao Paulo (SP),1,139.1,139.1,10/29/2020,4You,Paula Daniel,female,23,1
287,3,Hotel AU,Recife (PE),1,312.83,312.83,11/26/2020,4You,Paula Daniel,female,23,1
290,3,Hotel BW,Campo Grande (MS),1,60.39,60.39,12/17/2020,4You,Paula Daniel,female,23,1
291,3,Hotel K,Salvador (BH),1,263.41,263.41,12/24/2020,4You,Paula Daniel,female,23,1
295,3,Hotel BD,Natal (RN),4,242.88,971.52,01/21/2021,4You,Paula Daniel,female,23,1
296,3,Hotel AU,Recife (PE),3,312.83,938.49,01/28/2021,4You,Paula Daniel,female,23,1
299,3,Hotel AF,Sao Paulo (SP),3,139.1,417.3,02/18/2021,4You,Paula Daniel,female,23,1
300,3,Hotel K,Salvador (BH),3,263.41,790.23,02/25/2021,4You,Paula Daniel,female,23,1
303,3,Hotel BW,Campo Grande (MS),1,60.39,60.39,03/18/2021,4You,Paula Daniel,female,23,1
305,3,Hotel BD,Natal (RN),4,242.88,971.52,04/01/2021,4You,Paula Daniel,female,23,1
306,3,Hotel A,Florianopolis (SC),3,313.02,939.06,04/08/2021,4You,Paula Daniel,female,23,1
307,3,Hotel BD,Natal (RN),2,242.88,485.76,04/15/2021,4You,Paula Daniel,female,23,1
311,3,Hotel AF,Sao Paulo (SP),2,139.1,278.2,05/13/2021,4You,Paula Daniel,female,23,1
315,3,Hotel CB,Rio de Janeiro (RJ),3,165.99,497.97,06/10/2021,4You,Paula Daniel,female,23,1
322,3,Hotel BD,Natal (RN),1,242.88,242.88,07/29/2021,4You,Paula Daniel,female,23,1
325,3,Hotel CB,Rio de Janeiro (RJ),3,165.99,497.97,08/19/2021,4You,Paula Daniel,female,23,1
337,3,Hotel CB,Rio de Janeiro (RJ),3,165.99,497.97,11/11/2021,4You,Paula Daniel,female,23,1
338,3,Hotel Z,Aracaju (SE),3,208.04,624.12,11/18/2021,4You,Paula Daniel,female,23,1
347,3,Hotel BP,Brasilia (DF),1,247.62,247.62,01/20/2022,4You,Paula Daniel,female,23,1
350,3,Hotel BD,Natal (RN),1,242.88,242.88,02/10/2022,4You,Paula Daniel,female,23,1
363,3,Hotel AF,Sao Paulo (SP),1,139.1,139.1,05/12/2022,4You,Paula Daniel,female,23,1
369,3,Hotel AU,Recife (PE),3,312.83,938.49,06/23/2022,4You,Paula Daniel,female,23,1
373,3,Hotel BW,Campo Grande (MS),4,60.39,241.56,07/21/2022,4You,Paula Daniel,female,23,1
377,3,Hotel A,Florianopolis (SC),4,313.02,1252.08,08/18/2022,4You,Paula Daniel,female,23,1
382,3,Hotel K,Salvador (BH),2,263.41,526.82,09/22/2022,4You,Paula Daniel,female,23,1
383,3,Hotel A,Florianopolis (SC),2,313.02,626.04,09/29/2022,4You,Paula Daniel,female,23,1
385,3,Hotel BW,Campo Grande (MS),2,60.39,120.78,10/13/2022,4You,Paula Daniel,female,23,1
387,3,Hotel AF,Sao Paulo (SP),3,139.1,417.3,10/27/2022,4You,Paula Daniel,female,23,1
388,3,Hotel BD,Natal (RN),4,242.88,971.52,11/03/2022,4You,Paula Daniel,female,23,1
394,3,Hotel K,Salvador (BH),4,263.41,1053.64,12/15/2022,4You,Paula Daniel,female,23,1
397,3,Hotel AU,Recife (PE),4,312.83,1251.32,01/05/2023,4You,Paula Daniel,female,23,1
398,3,Hotel BW,Campo Grande (MS),4,60.39,241.56,01/12/2023,4You,Paula Daniel,female,23,1
403,3,Hotel AF,Sao Paulo (SP),3,139.1,417.3,02/16/2023,4You,Paula Daniel,female,23,1
404,3,Hotel Z,Aracaju (SE),1,208.04,208.04,02/23/2023,4You,Paula Daniel,female,23,1
406,3,Hotel BD,Natal (RN),2,242.88,485.76,03/09/2023,4You,Paula Daniel,female,23,1
408,3,Hotel K,Salvador (BH),1,263.41,263.41,03/23/2023,4You,Paula Daniel,female,23,1
409,3,Hotel K,Salvador (BH),3,263.41,790.23,03/30/2023,4You,Paula Daniel,female,23,1
410,3,Hotel BW,Campo Grande (MS),3,60.39,181.17,04/06/2023,4You,Paula Daniel,female,23,1
412,3,Hotel A,Florianopolis (SC),2,313.02,626.04,04/20/2023,4You,Paula Daniel,female,23,1
415,3,Hotel CB,Rio de Janeiro (RJ),2,165.99,331.98,05/11/2023,4You,Paula Daniel,female,23,1
417,3,Hotel BD,Natal (RN),2,242.88,485.76,05/25/2023,4You,Paula Daniel,female,23,1
418,3,Hotel AU,Recife (PE),1,312.83,312.83,06/01/2023,4You,Paula Daniel,female,23,1
419,3,Hotel BW,Campo Grande (MS),2,60.39,120.78,06/08/2023,4You,Paula Daniel,female,23,1
424,3,Hotel CB,Rio de Janeiro (RJ),1,165.99,165.99,07/13/2023,4You,Paula Daniel,female,23,1
426,4,Hotel AU,Recife (PE),2,312.83,625.66,10/03/2019,4You,Patricia Carson,female,44,1
431,4,Hotel AU,Recife (PE),4,312.83,1251.32,11/07/2019,4You,Patricia Carson,female,44,1
432,4,Hotel AU,Recife (PE),3,312.83,938.49,11/14/2019,4You,Patricia Carson,female,44,1
440,4,Hotel K,Salvador (BH),3,263.41,790.23,01/09/2020,4You,Patricia Carson,female,44,1
442,4,Hotel Z,Aracaju (SE),2,208.04,416.08,01/23/2020,4You,Patricia Carson,female,44,1
445,4,Hotel CB,Rio de Janeiro (RJ),1,165.99,165.99,02/13/2020,4You,Patricia Carson,female,44,1
447,4,Hotel AF,Sao Paulo (SP),2,139.1,278.2,02/27/2020,4You,Patricia Carson,female,44,1
450,4,Hotel BW,Campo Grande (MS),2,60.39,120.78,03/19/2020,4You,Patricia Carson,female,44,1
452,4,Hotel A,Florianopolis (SC),1,313.02,313.02,04/02/2020,4You,Patricia Carson,female,44,1
456,4,Hotel CB,Rio de Janeiro (RJ),3,165.99,497.97,04/30/2020,4You,Patricia Carson,female,44,1
457,4,Hotel BW,Campo Grande (MS),2,60.39,120.78,05/07/2020,4You,Patricia Carson,female,44,1
468,4,Hotel Z,Aracaju (SE),1,208.04,208.04,07/23/2020,4You,Patricia Carson,female,44,1
473,4,Hotel AF,Sao Paulo (SP),4,139.1,556.4,08/27/2020,4You,Patricia Carson,female,44,1
481,4,Hotel A,Florianopolis (SC),4,313.02,1252.08,10/22/2020,4You,Patricia Carson,female,44,1
486,4,Hotel Z,Aracaju (SE),4,208.04,832.16,11/26/2020,4You,Patricia Carson,female,44,1
490,4,Hotel CB,Rio de Janeiro (RJ),1,165.99,165.99,12/24/2020,4You,Patricia Carson,female,44,1
491,4,Hotel A,Florianopolis (SC),4,313.02,1252.08,12/31/2020,4You,Patricia Carson,female,44,1
494,4,Hotel AF,Sao Paulo (SP),2,139.1,278.2,01/21/2021,4You,Patricia Carson,female,44,1
498,4,Hotel CB,Rio de Janeiro (RJ),4,165.99,663.96,02/18/2021,4You,Patricia Carson,female,44,1
500,4,Hotel K,Salvador (BH),2,263.41,526.82,03/04/2021,4You,Patricia Carson,female,44,1
501,4,Hotel CB,Rio de Janeiro (RJ),1,165.99,165.99,03/11/2021,4You,Patricia Carson,female,44,1
503,4,Hotel A,Florianopolis (SC),2,313.02,626.04,03/25/2021,4You,Patricia Carson,female,44,1
505,4,Hotel A,Florianopolis (SC),2,313.02,626.04,04/08/2021,4You,Patricia Carson,female,44,1
514,4,Hotel AU,Recife (PE),3,312.83,938.49,06/10/2021,4You,Patricia Carson,female,44,1
517,4,Hotel BD,Natal (RN),4,242.88,971.52,07/01/2021,4You,Patricia Carson,female,44,1
529,4,Hotel AF,Sao Paulo (SP),3,139.1,417.3,09/23/2021,4You,Patricia Carson,female,44,1
532,4,Hotel CB,Rio de Janeiro (RJ),4,165.99,663.96,10/14/2021,4You,Patricia Carson,female,44,1
537,4,Hotel AU,Recife (PE),3,312.83,938.49,11/18/2021,4You,Patricia Carson,female,44,1
541,4,Hotel CB,Rio de Janeiro (RJ),3,165.99,497.97,12/16/2021,4You,Patricia Carson,female,44,1
543,4,Hotel BW,Campo Grande (MS),3,60.39,181.17,12/30/2021,4You,Patricia Carson,female,44,1
545,4,Hotel BW,Campo Grande (MS),1,60.39,60.39,01/13/2022,4You,Patricia Carson,female,44,1
548,4,Hotel BW,Campo Grande (MS),2,60.39,120.78,02/03/2022,4You,Patricia Carson,female,44,1
555,4,Hotel A,Florianopolis (SC),1,313.02,313.02,03/24/2022,4You,Patricia Carson,female,44,1
556,4,Hotel K,Salvador (BH),3,263.41,790.23,03/31/2022,4You,Patricia Carson,female,44,1
557,4,Hotel K,Salvador (BH),1,263.41,263.41,04/07/2022,4You,Patricia Carson,female,44,1
559,4,Hotel K,Salvador (BH),2,263.41,526.82,04/21/2022,4You,Patricia Carson,female,44,1
562,4,Hotel BD,Natal (RN),2,242.88,485.76,05/12/2022,4You,Patricia Carson,female,44,1
564,4,Hotel CB,Rio de Janeiro (RJ),1,165.99,165.99,05/26/2022,4You,Patricia Carson,female,44,1
565,4,Hotel CB,Rio de Janeiro (RJ),2,165.99,331.98,06/02/2022,4You,Patricia Carson,female,44,1
574,4,Hotel BP,Brasilia (DF),4,247.62,990.48,08/04/2022,4You,Patricia Carson,female,44,1
578,4,Hotel Z,Aracaju (SE),3,208.04,624.12,09/01/2022,4You,Patricia Carson,female,44,1
581,4,Hotel CB,Rio de Janeiro (RJ),3,165.99,497.97,09/22/2022,4You,Patricia Carson,female,44,1
582,4,Hotel AF,Sao Paulo (SP),3,139.1,417.3,09/29/2022,4You,Patricia Carson,female,44,1
586,4,Hotel K,Salvador (BH),2,263.41,526.82,10/27/2022,4You,Patricia Carson,female,44,1
587,4,Hotel K,Salvador (BH),1,263.41,263.41,11/03/2022,4You,Patricia Carson,female,44,1
588,4,Hotel BD,Natal (RN),2,242.88,485.76,11/10/2022,4You,Patricia Carson,female,44,1
590,4,Hotel AU,Recife (PE),2,312.83,625.66,11/24/2022,4You,Patricia Carson,female,44,1
591,4,Hotel AU,Recife (PE),4,312.83,1251.32,12/01/2022,4You,Patricia Carson,female,44,1
596,4,Hotel BP,Brasilia (DF),1,247.62,247.62,01/05/2023,4You,Patricia Carson,female,44,1
598,4,Hotel BD,Natal (RN),4,242.88,971.52,01/19/2023,4You,Patricia Carson,female,44,1
604,4,Hotel AF,Sao Paulo (SP),3,139.1,417.3,03/02/2023,4You,Patricia Carson,female,44,1
605,4,Hotel A,Florianopolis (SC),4,313.02,1252.08,03/09/2023,4You,Patricia Carson,female,44,1
609,4,Hotel BW,Campo Grande (MS),2,60.39,120.78,04/06/2023,4You,Patricia Carson,female,44,1
619,4,Hotel CB,Rio de Janeiro (RJ),4,165.99,663.96,06/15/2023,4You,Patricia Carson,female,44,1
621,4,Hotel BP,Brasilia (DF),4,247.62,990.48,06/29/2023,4You,Patricia Carson,female,44,1
623,4,Hotel BD,Natal (RN),4,242.88,971.52,07/13/2023,4You,Patricia Carson,female,44,1
624,5,Hotel K,Salvador (BH),2,263.41,526.82,09/26/2019,4You,Trina Thomas,none,47,1
638,5,Hotel K,Salvador (BH),1,263.41,263.41,01/02/2020,4You,Trina Thomas,none,47,1
643,5,Hotel AF,Sao Paulo (SP),3,139.1,417.3,02/06/2020,4You,Trina Thomas,none,47,1
644,5,Hotel K,Salvador (BH),1,263.41,263.41,02/13/2020,4You,Trina Thomas,none,47,1
646,5,Hotel K,Salvador (BH),3,263.41,790.23,02/27/2020,4You,Trina Thomas,none,47,1
648,5,Hotel CB,Rio de Janeiro (RJ),4,165.99,663.96,03/12/2020,4You,Trina Thomas,none,47,1
658,5,Hotel BD,Natal (RN),1,242.88,242.88,05/21/2020,4You,Trina Thomas,none,47,1
668,5,Hotel BW,Campo Grande (MS),1,60.39,60.39,07/30/2020,4You,Trina Thomas,none,47,1
670,5,Hotel K,Salvador (BH),3,263.41,790.23,08/13/2020,4You,Trina Thomas,none,47,1
676,5,Hotel A,Florianopolis (SC),4,313.02,1252.08,09/24/2020,4You,Trina Thomas,none,47,1
680,5,Hotel AF,Sao Paulo (SP),2,139.1,278.2,10/22/2020,4You,Trina Thomas,none,47,1
683,5,Hotel AF,Sao Paulo (SP),1,139.1,139.1,11/12/2020,4You,Trina Thomas,none,47,1
687,5,Hotel Z,Aracaju (SE),1,208.04,208.04,12/10/2020,4You,Trina Thomas,none,47,1
688,6,Hotel BD,Natal (RN),3,242.88,728.64,09/26/2019,4You,Jesse Decelle,male,46,1
690,6,Hotel AF,Sao Paulo (SP),3,139.1,417.3,10/10/2019,4You,Jesse Decelle,male,46,1
695,6,Hotel A,Florianopolis (SC),2,313.02,626.04,11/14/2019,4You,Jesse Decelle,male,46,1
696,6,Hotel CB,Rio de Janeiro (RJ),2,165.99,331.98,11/21/2019,4You,Jesse Decelle,male,46,1
698,6,Hotel AU,Recife (PE),1,312.83,312.83,12/05/2019,4You,Jesse Decelle,male,46,1
699,6,Hotel BW,Campo Grande (MS),4,60.39,241.56,12/12/2019,4You,Jesse Decelle,male,46,1
701,6,Hotel BP,Brasilia (DF),4,247.62,990.48,12/26/2019,4You,Jesse Decelle,male,46,1
707,6,Hotel A,Florianopolis (SC),2,313.02,626.04,02/06/2020,4You,Jesse Decelle,male,46,1
711,6,Hotel AF,Sao Paulo (SP),1,139.1,139.1,03/05/2020,4You,Jesse Decelle,male,46,1
712,6,Hotel A,Florianopolis (SC),4,313.02,1252.08,03/12/2020,4You,Jesse Decelle,male,46,1
718,6,Hotel K,Salvador (BH),4,263.41,1053.64,04/23/2020,4You,Jesse Decelle,male,46,1
719,6,Hotel AF,Sao Paulo (SP),1,139.1,139.1,04/30/2020,4You,Jesse Decelle,male,46,1
723,6,Hotel BP,Brasilia (DF),2,247.62,495.24,05/28/2020,4You,Jesse Decelle,male,46,1
739,6,Hotel AF,Sao Paulo (SP),3,139.1,417.3,09/17/2020,4You,Jesse Decelle,male,46,1
745,6,Hotel K,Salvador (BH),1,263.41,263.41,10/29/2020,4You,Jesse Decelle,male,46,1
746,6,Hotel CB,Rio de Janeiro (RJ),4,165.99,663.96,11/05/2020,4You,Jesse Decelle,male,46,1
747,6,Hotel BD,Natal (RN),4,242.88,971.52,11/12/2020,4You,Jesse Decelle,male,46,1
749,6,Hotel A,Florianopolis (SC),2,313.02,626.04,11/26/2020,4You,Jesse Decelle,male,46,1
753,6,Hotel BP,Brasilia (DF),2,247.62,495.24,12/24/2020,4You,Jesse Decelle,male,46,1
754,6,Hotel BD,Natal (RN),2,242.88,485.76,12/31/2020,4You,Jesse Decelle,male,46,1
755,6,Hotel K,Salvador (BH),1,263.41,263.41,01/07/2021,4You,Jesse Decelle,male,46,1
762,6,Hotel CB,Rio de Janeiro (RJ),3,165.99,497.97,02/25/2021,4You,Jesse Decelle,male,46,1
767,6,Hotel AF,Sao Paulo (SP),3,139.1,417.3,04/01/2021,4You,Jesse Decelle,male,46,1
778,7,Hotel AF,Sao Paulo (SP),3,139.1,417.3,11/21/2019,4You,Gregoria Gil,female,21,1
787,7,Hotel BW,Campo Grande (MS),1,60.39,60.39,01/23/2020,4You,Gregoria Gil,female,21,1
788,7,Hotel BW,Campo Grande (MS),2,60.39,120.78,01/30/2020,4You,Gregoria Gil,female,21,1
793,7,Hotel CB,Rio de Janeiro (RJ),3,165.99,497.97,03/05/2020,4You,Gregoria Gil,female,21,1
795,7,Hotel BW,Campo Grande (MS),2,60.39,120.78,03/19/2020,4You,Gregoria Gil,female,21,1
803,7,Hotel BW,Campo Grande (MS),4,60.39,241.56,05/14/2020,4You,Gregoria Gil,female,21,1
805,7,Hotel Z,Aracaju (SE),2,208.04,416.08,05/28/2020,4You,Gregoria Gil,female,21,1
806,7,Hotel AU,Recife (PE),3,312.83,938.49,06/04/2020,4You,Gregoria Gil,female,21,1
808,7,Hotel BD,Natal (RN),3,242.88,728.64,06/18/2020,4You,Gregoria Gil,female,21,1
809,7,Hotel BP,Brasilia (DF),4,247.62,990.48,06/25/2020,4You,Gregoria Gil,female,21,1
812,7,Hotel BD,Natal (RN),2,242.88,485.76,07/16/2020,4You,Gregoria Gil,female,21,1
815,7,Hotel AU,Recife (PE),3,312.83,938.49,08/06/2020,4You,Gregoria Gil,female,21,1
817,7,Hotel BD,Natal (RN),2,242.88,485.76,08/20/2020,4You,Gregoria Gil,female,21,1
819,7,Hotel BW,Campo Grande (MS),2,60.39,120.78,09/03/2020,4You,Gregoria Gil,female,21,1
823,8,Hotel K,Salvador (BH),4,263.41,1053.64,10/03/2019,4You,Jack Sabo,none,41,1
826,8,Hotel A,Florianopolis (SC),3,313.02,939.06,10/24/2019,4You,Jack Sabo,none,41,1
827,8,Hotel AU,Recife (PE),4,312.83,1251.32,10/31/2019,4You,Jack Sabo,none,41,1
830,8,Hotel BD,Natal (RN),4,242.88,971.52,11/21/2019,4You,Jack Sabo,none,41,1
834,8,Hotel BP,Brasilia (DF),2,247.62,495.24,12/19/2019,4You,Jack Sabo,none,41,1
836,8,Hotel AF,Sao Paulo (SP),1,139.1,139.1,01/02/2020,4You,Jack Sabo,none,41,1
838,8,Hotel BD,Natal (RN),1,242.88,242.88,01/16/2020,4You,Jack Sabo,none,41,1
840,8,Hotel Z,Aracaju (SE),1,208.04,208.04,01/30/2020,4You,Jack Sabo,none,41,1
852,8,Hotel A,Florianopolis (SC),1,313.02,313.02,04/23/2020,4You,Jack Sabo,none,41,1
857,8,Hotel CB,Rio de Janeiro (RJ),2,165.99,331.98,05/28/2020,4You,Jack Sabo,none,41,1
861,8,Hotel CB,Rio de Janeiro (RJ),2,165.99,331.98,06/25/2020,4You,Jack Sabo,none,41,1
862,8,Hotel CB,Rio de Janeiro (RJ),1,165.99,165.99,07/02/2020,4You,Jack Sabo,none,41,1
864,8,Hotel BP,Brasilia (DF),2,247.62,495.24,07/16/2020,4You,Jack Sabo,none,41,1
865,8,Hotel BW,Campo Grande (MS),3,60.39,181.17,07/23/2020,4You,Jack Sabo,none,41,1
869,8,Hotel BP,Brasilia (DF),4,247.62,990.48,08/20/2020,4You,Jack Sabo,none,41,1
871,8,Hotel BD,Natal (RN),4,242.88,971.52,09/03/2020,4You,Jack Sabo,none,41,1
892,8,Hotel A,Florianopolis (SC),2,313.02,626.04,01/28/2021,4You,Jack Sabo,none,41,1
894,8,Hotel BP,Brasilia (DF),3,247.62,742.86,02/11/2021,4You,Jack Sabo,none,41,1
900,8,Hotel BD,Natal (RN),2,242.88,485.76,03/25/2021,4You,Jack Sabo,none,41,1
904,8,Hotel AU,Recife (PE),4,312.83,1251.32,04/22/2021,4You,Jack Sabo,none,41,1
907,8,Hotel AU,Recife (PE),3,312.83,938.49,05/13/2021,4You,Jack Sabo,none,41,1
911,8,Hotel BD,Natal (RN),4,242.88,971.52,06/10/2021,4You,Jack Sabo,none,41,1
913,8,Hotel A,Florianopolis (SC),1,313.02,313.02,06/24/2021,4You,Jack Sabo,none,41,1
